date,time,bottle,xCH4
28/03/2015,15:15,1,0.78989879
28/03/2015,15:15,2,0.776492886
28/03/2015,15:15,3,0.783195838
28/03/2015,15:15,4,0.672816008
28/03/2015,15:15,5,0.663852132
28/03/2015,15:15,6,0.72463472
28/03/2015,15:15,7,0.733356351
28/03/2015,15:15,8,0.741708813
28/03/2015,15:15,9,0.753277176
28/03/2015,15:15,10,0.762665849
28/03/2015,15:15,11,0.749314272
28/03/2015,15:15,12,0.789591334
28/03/2015,15:15,13,0.796896353
28/03/2015,15:15,14,0.809687388
28/03/2015,15:15,15,0.810096673
28/03/2015,15:15,16,0.814907158
28/03/2015,15:15,17,0.814199893
28/03/2015,15:15,18,0.801812756
28/03/2015,15:15,19,0.814190707
28/03/2015,15:15,20,0.80094844
28/03/2015,15:15,21,0.804356598
28/03/2015,15:15,22,0.793318988
28/03/2015,15:15,23,0.796009058
28/03/2015,15:15,24,0.796657197
28/03/2015,15:15,25,0.637581485
28/03/2015,15:15,26,0.790295705
28/03/2015,15:15,27,0.799968015
30/03/2015,16:45,4,0.600514683
30/03/2015,16:45,5,0.589250151
30/03/2015,16:45,6,0.579470422
31/03/2015,14:00,1,0.709379882
31/03/2015,14:00,2,0.70383079
31/03/2015,14:00,3,0.711625897
31/03/2015,14:00,4,0.542986631
31/03/2015,14:00,5,0.527197545
31/03/2015,14:00,6,0.535475589
31/03/2015,14:00,7,0.646090745
31/03/2015,14:00,8,0.707134909
31/03/2015,14:00,9,0.72404599
31/03/2015,14:00,10,0.72369002
31/03/2015,14:00,11,0.680025017
04/04/2015,15:20,1,0.754050931
04/04/2015,15:20,2,0.75142352
04/04/2015,15:20,3,0.753381155
04/04/2015,15:20,4,0.576985679
04/04/2015,15:20,5,0.574739451
04/04/2015,15:20,6,0.587701561
04/04/2015,15:20,7,0.729557777
04/04/2015,15:20,8,0.706341296
04/04/2015,15:20,9,0.701364808
04/04/2015,15:20,10,0.710791846
04/04/2015,15:20,11,0.730126623
04/04/2015,15:20,12,0.760195304
04/04/2015,15:20,13,0.77209355
04/04/2015,15:20,14,0.771298303
04/04/2015,15:20,15,0.768766284
04/04/2015,15:20,16,0.773281828
04/04/2015,15:20,17,0.764046414
04/04/2015,15:20,18,0.76490952
04/04/2015,15:20,19,0.767162528
04/04/2015,15:20,20,0.767106998
04/04/2015,15:20,21,0.767868459
04/04/2015,15:20,22,0.765180909
04/04/2015,15:20,23,0.764055678
04/04/2015,15:20,24,0.764116568
04/04/2015,15:20,25,0.776613387
04/04/2015,15:20,26,0.76074817
04/04/2015,15:20,27,0.767225631
10/04/2015,15:00,1,0.714963151
10/04/2015,15:00,2,0.701781729
10/04/2015,15:00,3,0.687660755
10/04/2015,15:00,4,0.627424149
10/04/2015,15:00,5,0.603718676
10/04/2015,15:00,6,0.606477164
